AGCNr,Name,RAdeg_HI,DECdeg_HI,RAdeg_OC,DECdeg_OC,Vhelio,W50,sigW,W20,HIflux,sigflux,SNR,RMS,Dist,sigDist,logMH,siglogMH,HIcode
193905,........,145.48625,15.30083,145.49416,15.31056,7778,82,7,96,0.7,0.05,7.9,2.16,115.6,2.4,9.34,0.06,1
193904,........,145.48749,14.96139,145.49126,14.96694,7629,94,7,136,2.03,0.04,28.4,1.64,113.5,2.3,9.79,0.05,1
5180,N2967...,145.51334,0.33806,145.515,0.33611,1893,131,2,155,48.36,0.13,249.8,3.78,29.2,4.2,9.99,0.13,1
5181,N2966...,145.55458,4.68139,145.54834,4.67333,2041,243,4,270,8.41,0.11,44.0,2.74,31.2,4.2,9.29,0.13,1
191685,035-032.,145.57666,4.2775,145.55499,4.27333,8479,193,7,215,2.52,0.09,15.9,2.55,125.9,2.4,9.97,0.05,1
192741,........,145.59166,5.99528,145.58957,5.99556,5831,148,5,160,1.06,0.07,8.3,2.34,88.0,2.4,9.29,0.06,1
190450,092-032.,145.59583,14.62778,145.59665,14.63028,3877,143,6,181,1.92,0.06,19.3,1.86,58.1,2.3,9.18,0.06,1
191295,035-034.,145.61166,3.34889,145.61375,3.34722,7181,44,4,69,1.58,0.06,21.3,2.45,107.4,2.2,9.63,0.05,1
191296,035-037.,145.63083,7.0925,145.63042,7.09917,7471,225,8,267,2.7,0.08,18.2,2.21,111.4,2.1,9.9,0.05,1
192745,........,145.64249,6.28139,145.64334,6.27722,9550,235,3,248,2.3,0.09,14.0,2.39,141.2,2.3,10.03,0.05,1
193502,........,145.64542,1.50444,145.64874,1.49917,13971,263,51,297,1.49,0.13,6.4,3.22,204.4,2.5,10.17,0.06,1
193503,........,145.65207,1.30722,145.65791,1.30056,7393,131,25,154,1.15,0.09,7.7,2.9,110.4,2.3,9.52,0.06,1
198337,........,145.71083,9.63528,145.71333,9.63333,1461,34,3,46,0.65,0.03,12.3,1.97,23.4,2.3,7.92,0.1,1
193813,........,145.71249,4.88972,145.71208,4.89,1939,87,6,101,0.66,0.05,7.3,2.13,30.3,2.3,8.15,0.09,1
192747,........,145.72166,6.6425,145.72333,6.64417,5887,216,5,222,1.1,0.08,7.4,2.25,88.8,2.3,9.31,0.06,1
5189,063-048a,145.73291,9.48778,145.7225,9.495,3216,114,3,161,25.95,0.06,281.3,1.92,48.8,4.3,10.16,0.09,1
198519,........,145.73332,0.245,145.73125,0.24944,7565,124,16,162,2.25,0.1,14.1,3.18,112.9,2.3,9.83,0.05,1
198455,........,145.75,7.28056,145.7475,7.28528,7609,254,12,275,1.23,0.09,7.1,2.42,113.4,2.4,9.57,0.06,1
192748,........,145.75041,6.5325,145.76332,6.5325,8532,173,8,191,0.93,0.08,6.8,2.33,126.6,2.2,9.55,0.06,1
192835,........,145.75624,5.03,145.75916,5.02917,1963,95,7,115,1.42,0.06,14.0,2.32,30.6,2.2,8.5,0.08,1
193782,........,145.75999,9.25139,145.7579,9.2525,3217,138,3,156,2.15,0.06,20.5,1.99,49.0,2.3,9.08,0.06,1
193098,........,145.78583,3.93472,145.78583,3.94028,5875,180,6,194,1.23,0.08,8.9,2.3,88.7,2.3,9.36,0.06,1
193685,........,145.78999,0.32,145.77499,0.32028,7494,55,10,68,0.79,0.07,7.3,3.2,111.9,2.2,9.37,0.06,1
739061,........,145.795,17.6825,145.79791,17.68806,4474,95,4,113,1.57,0.05,16.7,2.14,66.3,2.2,9.21,0.05,1
5195,007-024.,145.80125,0.40944,145.79999,0.41389,7571,429,9,454,4.02,0.14,14.8,2.84,113.0,2.3,10.08,0.05,1
193906,........,145.82791,15.64944,145.82999,15.64111,8506,325,9,343,1.73,0.1,9.5,2.26,126.0,2.2,9.81,0.05,1
193686,........,145.82541,0.36167,145.82666,0.37306,6462,154,9,188,1.65,0.1,10.0,2.95,97.1,2.3,9.56,0.05,1
190460,063-051a,145.83417,10.07917,145.83875,10.08694,16275,370,19,421,1.58,0.1,9.1,2.02,237.1,2.3,10.32,0.05,1
191303,035-040.,145.90166,7.45028,145.90207,7.45111,7704,297,40,306,1.95,0.09,11.4,2.21,114.8,2.3,9.78,0.05,1
193688,........,145.93666,0.52639,145.92831,0.53111,9138,216,12,248,2.07,0.14,8.4,3.73,135.4,2.3,9.95,0.05,1
191770,FGC.932.,145.94542,14.68083,145.94041,14.68,3823,165,6,185,1.5,0.06,14.8,1.75,57.4,2.2,9.07,0.06,1
5204,063-054.,145.96167,9.65833,145.96249,9.65611,3177,142,3,176,6.12,0.07,56.3,2.03,48.4,2.3,9.53,0.06,1
